Inject,Accuracy,CBT_sex,CBD_sex,CBT_race,CBD_race,CBT_gt_sex,CBD_gt_sex,CBT_gt_race,CBD_gt_race
None,0.80,0.59,0.01,-0.52,-0.01,0.00,0.00,0.00,0.00
{'sex': 0.1},0.78,3.83,0.07,-0.50,-0.01,16.86,0.20,-1.81,-0.03
{'sex': 0.2},0.77,8.76,0.16,-0.63,-0.02,23.33,0.27,-0.61,-0.01
{'sex': -0.1},0.77,-11.13,-0.21,-3.43,-0.08,-23.64,-0.40,-4.68,-0.10
{'sex': -0.2},0.75,-20.80,-0.39,-3.52,-0.09,-32.31,-0.53,-5.71,-0.11
{'race': 0.1},0.78,-1.99,-0.04,4.10,0.10,-4.52,-0.06,13.73,0.22
{'race': 0.2},0.77,-3.21,-0.06,8.55,0.21,-4.31,-0.06,19.89,0.33
{'race': -0.1},0.78,-3.41,-0.06,-11.56,-0.29,-7.86,-0.11,-18.13,-0.57
{'race': -0.2},0.76,-4.17,-0.08,-19.08,-0.48,-6.54,-0.09,-25.63,-0.77
"{'sex': 0.2, 'race': 0.2}",0.75,8.52,0.16,9.25,0.23,21.32,0.25,21.50,0.32
"{'sex': -0.2, 'race': -0.2}",0.73,-22.18,-0.42,-22.42,-0.57,-31.63,-0.49,-27.24,-0.70
"{'sex': 0.2, 'race': -0.2}",0.76,6.79,0.13,-16.98,-0.45,14.25,0.18,-21.81,-0.58
"{'sex': -0.2, 'race': 0.2}",0.74,-18.14,-0.34,8.85,0.22,-28.70,-0.45,19.20,0.29
