Pair,Metric,Accuracy,sex,race
P2,Train,1.00,(0.50) 0.00,(0.50) 0.00
P2/P1,GT Train,0.87,(0.00) -0.08,(0.00) -0.20
P2/P1,GT Test,0.86,(0.36) -0.02,(0.11) -0.10
P2/P1,Unbiased Bridge,0.86,(0.02) -0.13,(0.20) -0.06
P2/P1,Biased Bridge,1.00,(0.09) -0.08,(0.04) -0.12
P2/P2,GT Train,1.00,(0.50) 0.00,(0.50) 0.00
P2/P2,GT Test,1.00,(0.50) 0.00,(0.50) 0.00
P2/P2,Unbiased Bridge,0.88,(0.03) -0.11,(0.27) 0.04
P2/P2,Biased Bridge,1.00,(0.13) -0.07,(0.23) -0.05
P2/P3,GT Train,0.84,(0.00) -0.10,(0.19) -0.03
P2/P3,GT Test,0.84,(0.16) -0.06,(0.41) -0.02
P2/P3,Unbiased Bridge,0.82,(0.01) -0.15,(0.40) 0.02
P2/P3,Biased Bridge,1.00,(0.04) -0.11,(0.21) -0.06
P2/Average,GT Train,0.85,(0.00) 0.18,(0.00) -0.09
P2/Average,GT Test,0.85,(0.01) 0.15,(0.44) -0.01
P2/Average,Unbiased Bridge,0.83,(0.23) 0.04,(0.35) 0.03
P2/Average,Biased Bridge,1.00,(0.24) 0.04,(0.22) -0.05
