Pair,Metric,MAE,sex,race
P2/P1,GT Train,0.9315909090909091,(0.00) 0.45,(0.00) 0.25
P2/P1,GT Test,0.9372727272727273,(0.00) 0.39,(0.00) 0.19
P2/P1,Unbiased Bridge,0.9880566602727272,(0.00) 0.40,(0.00) 0.22
P2/P1,Biased Bridge,0.0,(0.00) 0.40,(0.00) 0.22
P2/P2,GT Train,0.0,(0.50) 0.00,(0.50) 0.00
P2/P2,GT Test,0.0,(0.50) 0.00,(0.50) 0.00
P2/P2,Unbiased Bridge,0.22923094336363634,(0.11) 0.07,(0.15) 0.07
P2/P2,Biased Bridge,0.0,(0.12) 0.07,(0.15) 0.07
P2/P3,GT Train,0.6597727272727273,(0.04) -0.05,(0.00) 0.17
P2/P3,GT Test,0.6590909090909091,(0.16) -0.06,(0.17) 0.06
P2/P3,Unbiased Bridge,0.7420508068181818,(0.33) -0.03,(0.09) 0.09
P2/P3,Biased Bridge,0.0,(0.37) -0.02,(0.08) 0.10
P2/Average,GT Train,0.4403522727272728,(0.00) 0.14,(0.00) 0.11
P2/Average,GT Test,0.44131818181818183,(0.07) 0.09,(0.48) -0.00
P2/Average,Unbiased Bridge,0.44400250954545456,(0.01) 0.15,(0.17) 0.06
P2/Average,Biased Bridge,0.0,(0.01) 0.14,(0.16) 0.07
